equipment,model,sub_model,manufacturer,losses_total,captured
Tanks,T-62 Obr. 1967,,the Soviet Union,1,1
Tanks,T-62M,,the Soviet Union,42,28
Tanks,T-62MV,,the Soviet Union,11,7
Tanks,T-64A,,the Soviet Union,2,0
Tanks,T-64BV,,the Soviet Union,45,6
Tanks,T-72A,,the Soviet Union,35,15
Tanks,T-72AV,,the Soviet Union,8,3
Tanks,T-72B,,the Soviet Union,208,58
Tanks,T-72B Obr. 1989,,the Soviet Union,71,17
Tanks,T-72BA,,Russia,22,13
Tanks,T-72B3,,Russia,235,68
Tanks,T-72B3 Obr. 2014,,Russia,3,1
Tanks,T-72B3 Obr. 2016,,Russia,190,88
Tanks,Unknown T-72,,the Soviet Union,94,5
Tanks,T-80BV,,the Soviet Union,176,68
Tanks,T-80BVK,,the Soviet Union,1,1
Tanks,T-80U,,Russia,89,35
Tanks,T-80UK,,Russia,2,1
Tanks,T-80UE-1,,Russia,8,7
Tanks,T-80UM2,,Russia,1,0
Tanks,T-80BVM,,Russia,61,25
Tanks,Unknown T-80,,Russia,5,2
Tanks,T-90A,,Russia,26,12
Tanks,T-90M,,Russia,6,1
Tanks,Unknown tank,,Russia,171,0
Armoured Fighting Vehicles,BRM-1K reconnaissance vehicle,,the Soviet Union,24,8
Armoured Fighting Vehicles,BRDM-2,,the Soviet Union,4,1
Armoured Fighting Vehicles,BRDM-2RKhb chemical reconnaissance vehicle,,the Soviet Union,2,2
Armoured Fighting Vehicles,BRDM-2-based ZS-82 PsyOps vehicle,,the Soviet Union,2,1
Armoured Fighting Vehicles,MT-LB,,the Soviet Union,333,124
Armoured Fighting Vehicles,MT-LBVM and MT-LBVMK,,the Soviet Union,143,81
Armoured Fighting Vehicles,MT-LB with ZU-23 AA gun,,the Soviet Union,15,7
Armoured Fighting Vehicles,MT-LBu,,the Soviet Union,15,6
Armoured Fighting Vehicles,Vityaz DT-10PM articulated tracked carrier,,Russia,1,0
Armoured Fighting Vehicles,Vityaz DT-30 articulated tracked carrier,,Russia,3,1
Armoured Fighting Vehicles,GAZ-3344-20 'Aleut' articulated tracked carrier,,Russia,2,0
Armoured Fighting Vehicles,2S1 with ZU-23 AA gun,,the Soviet Union,1,1
Armoured Fighting Vehicles,Unknown BTR-D/BMD-2,,the Soviet Union,10,1
Armoured Fighting Vehicles,Unknown AFV,,Russia,166,2
Infantry Fighting Vehicles,BMP-1(P),,the Soviet Union,214,78
Infantry Fighting Vehicles,BMP-1AM,,Russia,22,3
Infantry Fighting Vehicles,BMP-2(K),,the Soviet Union,637,199
Infantry Fighting Vehicles,BMP-2M,,Russia,10,4
Infantry Fighting Vehicles,BMP-2 675-sb3KDZ,,Russia,3,1
Infantry Fighting Vehicles,Unknown BMP-1/2,,the Soviet Union,84,0
